Date,Channel,Sessions,Orders,Conversion_Rate,AOV,Revenue,CAC,ROAS,Cart_Abandon_Rate,Bounce_Rate
2024-10-01,Organic_Search,12450,342,2.75,145.50,49761,0,0,68.5,42.3
2024-10-01,Paid_Search,8920,289,3.24,158.20,45720,45.50,3.52,65.2,38.7
2024-10-01,Social_Media,6780,187,2.76,132.40,24759,38.20,2.91,71.3,45.8
2024-10-01,Email,3450,298,8.64,167.80,50004,5.20,31.25,52.1,28.4
2024-10-02,Organic_Search,13200,368,2.79,148.90,54795,0,0,67.8,41.9
2024-10-02,Paid_Search,9150,312,3.41,162.30,50638,47.80,3.38,64.5,37.2
2024-10-02,Social_Media,7120,203,2.85,135.60,27527,39.50,2.84,70.1,44.5
2024-10-02,Email,3680,315,8.56,172.40,54306,5.50,30.89,51.3,27.8
2024-10-03,Organic_Search,11890,325,2.73,142.80,46410,0,0,69.2,43.1
2024-10-03,Paid_Search,8650,278,3.21,155.70,43284,46.20,3.28,66.1,39.4
2024-10-03,Social_Media,6420,176,2.74,128.90,22686,37.80,2.76,72.5,46.9
2024-10-03,Email,3290,285,8.66,165.20,47082,5.10,32.14,53.2,29.1
