Metric_ID,Period,Board_Meetings,Committee_Meetings,Policy_Reviews,Risk_Assessments,Compliance_Rate,Training_Completion,Governance_Score
GOV-2024-Q1,2024-Q1,4,12,8,2,94.5,87.3,91.2
GOV-2023-Q4,2023-Q4,3,10,6,1,92.1,89.7,89.8
GOV-2023-Q3,2023-Q3,4,11,7,2,96.2,91.4,93.5
GOV-2023-Q2,2023-Q2,3,9,5,1,88.7,84.2,86.1
GOV-2023-Q1,2023-Q1,4,12,9,2,95.8,88.9,92.7
GOV-2022-Q4,2022-Q4,3,8,4,1,87.3,82.5,84.9
GOV-2022-Q3,2022-Q3,4,10,6,2,93.1,86.7,90.3
GOV-2022-Q2,2022-Q2,3,11,8,1,91.4,85.8,88.7
GOV-2022-Q1,2022-Q1,4,9,5,2,89.6,83.4,87.2
GOV-2021-Q4,2021-Q4,3,7,3,1,84.9,79.1,82.6
